OfficeHours_ID,OfficeRecordNo,SequenceNo,DayInt,DayOfWeek,StartTime,EndTime,Comments
394,3225,8,5,Thursday,12/30/1899,12/30/1899,
395,3225,10,6,Friday,12/30/1899,12/30/1899,
396,55052,2,8,Mon - Fri,12/30/1899,12/30/1899,
397,55035,2,8,Mon - Fri,12/30/1899,12/30/1899,
398,55036,2,2,Monday,12/30/1899,12/30/1899,
399,55036,4,3,Tuesday,12/30/1899,12/30/1899,
400,55036,6,4,Wednesday,12/30/1899,12/30/1899,
401,55036,8,5,Thursday,12/30/1899,12/30/1899,
402,55036,10,6,Friday,12/30/1899,12/30/1899,
403,3208,2,2,Monday,12/30/1899,12/30/1899,
404,3208,4,3,Tuesday,12/30/1899,12/30/1899,
405,3208,6,4,Wednesday,12/30/1899,12/30/1899,
406,3208,8,5,Thursday,12/30/1899,12/30/1899,
407,3208,10,6,Friday,12/30/1899,12/30/1899,
408,1692,2,2,Monday,12/30/1899,12/30/1899,
409,1692,4,3,Tuesday,12/30/1899,12/30/1899,
410,1692,6,4,Wednesday,12/30/1899,12/30/1899,
411,1692,8,5,Thursday,12/30/1899,12/30/1899,
412,1692,10,6,Friday,12/30/1899,12/30/1899,
413,3197,2,8,Mon - Fri,12/30/1899,12/30/1899,
414,52661,2,2,Monday,12/30/1899,12/30/1899,
415,52661,4,3,Tuesday,12/30/1899,12/30/1899,
416,52661,6,4,Wednesday,12/30/1899,12/30/1899,
417,52661,8,5,Thursday,12/30/1899,12/30/1899,
418,52661,10,6,Friday,12/30/1899,12/30/1899,
419,55021,2,2,Monday,12/30/1899,12/30/1899,
420,55021,4,3,Tuesday,12/30/1899,12/30/1899,
421,55021,6,4,Wednesday,12/30/1899,12/30/1899,
422,55021,8,6,Friday,12/30/1899,12/30/1899,
423,53311,2,2,Monday,12/30/1899,12/30/1899,
424,53311,4,3,Tuesday,12/30/1899,12/30/1899,
425,53311,6,5,Thursday,12/30/1899,12/30/1899,
426,53311,8,6,Friday,12/30/1899,12/30/1899,
427,3586,2,2,Monday,12/30/1899,12/30/1899,
428,3586,4,3,Tuesday,12/30/1899,12/30/1899,
429,3586,6,4,Wednesday,12/30/1899,12/30/1899,
430,3586,8,5,Thursday,12/30/1899,12/30/1899,
431,3586,10,6,Friday,12/30/1899,12/30/1899,
432,51233,2,2,Monday,12/30/1899,12/30/1899,
433,51233,4,3,Tuesday,12/30/1899,12/30/1899,
434,51233,6,4,Wednesday,12/30/1899,12/30/1899,
435,51233,8,5,Thursday,12/30/1899,12/30/1899,
